Model,Preprocessing,LatentDimensions,precision_train,recall_train,precision_val,recall_val,rmse_train,rmse_val
SVD ,1, 20, 0.23293375278590492, 0.15456288226881296, 0.162331265961328, 0.1151631229536837, 3873.0836673483577, 5449.531762751489
SVD ,1, 30, 0.28226020805645935, 0.18742050330158536, 0.18215355394842575, 0.1290748385593933, 3996.0083552431493, 5603.107572151842
SVD ,1, 40, 0.31143181984889606, 0.2067127164288105, 0.19140960705077803, 0.13546775717262174, 4060.3615868985185, 5689.94646996639
SVD ,1, 50, 0.33027438744608606, 0.21903052064631956, 0.19601237664548968, 0.13854774630207187, 4099.967154087163, 5731.075477210597
SVD ,1, 70, 0.374978271808243, 0.24944162127620728, 0.21629069937217113, 0.15336534106350214, 4160.5983551226345, 5790.160393189069
SVD ,1, 100, 0.41559354208686605, 0.27713233727900677, 0.23416555723743002, 0.16616411942075499, 4209.124164751208, 5848.582462292582
SVD ,2, 20, 0.3831043570400022, 0.2574445424945988, 0.23449871651180448, 0.16787234868582818, 285.3222649048368, 222.8895987391041
SVD ,2, 30, 0.42958669765002666, 0.2891458479140675, 0.24687483088911738, 0.17711231607417857, 302.9143378125873, 230.1302922216069
SVD ,2, 40, 0.46428700361010833, 0.3130754952378054, 0.2570929016907603, 0.18457934854347574, 316.87580390449904, 237.00095105258552
SVD ,2, 50, 0.4932180934956785, 0.33305541186136384, 0.2652422011412525, 0.19068756227919195, 327.2828615707769, 242.48063158101962
SVD ,2, 70, 0.5419409449882484, 0.36625992757812736, 0.2756247866472628, 0.19852988754157339, 344.4546317645763, 251.25331252399502
SVD ,2, 100, 0.6029700650602844, 0.4072300155189727, 0.28870067648800446, 0.20820985337698808, 362.8535765175601, 260.32307336557534
SVD_implicit ,1, 20, 0.36607204352916867, 0.24366203640031175, 0.24629655267894227, 0.1766633565044687, 231.04523643395967, 238.48149919074496
SVD_implicit ,1, 30, 0.4357738136235278, 0.2900297960119184, 0.28076976325626474, 0.20101100208147488, 231.04182430019418, 238.47996614421186
SVD_implicit ,1, 40, 0.48770576485983885, 0.3245485379044825, 0.29766025197286444, 0.21295562599049128, 231.0396467491212, 238.47989412708193
SVD_implicit ,1, 50, 0.529306426062401, 0.35170015102283647, 0.31275093451474456, 0.2235526966848095, 231.03807776561783, 238.47944344594126
SVD_implicit ,1, 70, 0.593773675872994, 0.3939227781585561, 0.3225806451612903, 0.23126550868486354, 231.03580871372577, 238.4780226960052
SVD_implicit ,1, 100, 0.6634754459673531, 0.4402449613820209, 0.3398864737643638, 0.24420570973838654, 231.03363227571467, 238.47730692950677
SVD_implicit ,2, 20, 0.3584268889041945, 0.2358272533647528, 0.20517790391803958, 0.14600985221674878, 0.8671425835486017, 0.9190751992244303
SVD_implicit ,2, 30, 0.40567532199187273, 0.26727776013068927, 0.2204070330887443, 0.1568627450980392, 0.8399445613265918, 0.9085165746420414
SVD_implicit ,2, 40, 0.4421792134444521, 0.2920571376580839, 0.22885227744704417, 0.16306599585676235, 0.8212677078945617, 0.9022487808827118
SVD_implicit ,2, 50, 0.47379296094772366, 0.31342263531984693, 0.23743596843416861, 0.16944965912459242, 0.8049775044462811, 0.8959201444270039
SVD_implicit ,2, 70, 0.5246917831806598, 0.34672978016476264, 0.2483732521113111, 0.1776061776061776, 0.7775483502829056, 0.8868770905491329
SVD_implicit ,2, 100, 0.5857152696466699, 0.3873553794297167, 0.2642946144261387, 0.18882294757665677, 0.7442415895241971, 0.8782488236702204
